cols,importance,model_name
order_time_12,0.005206423216701078,GradientBoostingClassifier
order_time_17,0.00502167124018072,GradientBoostingClassifier
order_time_14,0.004668534226792029,GradientBoostingClassifier
order_fin,0.004557066856337948,GradientBoostingClassifier
order_time_18,0.00400015086749248,GradientBoostingClassifier
order_delivery,0.002769991378227726,GradientBoostingClassifier
order_time_15,0.0016519265407761074,GradientBoostingClassifier
store_羽村店,0.0014647751039854467,GradientBoostingClassifier
store_秦野店,0.0010347031426612041,GradientBoostingClassifier
store_青山店,0.0009052019380456706,GradientBoostingClassifier
store_武蔵野店,0.0008643730794883814,GradientBoostingClassifier
store_北千住店,0.0008564546484988709,GradientBoostingClassifier
store_九段店,0.0007396161830830597,GradientBoostingClassifier
store_東大和店,0.0006507299222897351,GradientBoostingClassifier
store_中原店,0.0005667495630940984,GradientBoostingClassifier
store_駒沢店,0.0004872262229698895,GradientBoostingClassifier
store_川口店,0.00046769911247656666,GradientBoostingClassifier
store_蒲田店,0.0004596871946589309,GradientBoostingClassifier
store_亀有店,0.0004490224349927588,GradientBoostingClassifier
store_逗子店,0.0004318052350077002,GradientBoostingClassifier
store_大塚店,0.0004140259020504636,GradientBoostingClassifier
store_大和店,0.0004135594389377116,GradientBoostingClassifier
store_池尻店,0.00037899584839242383,GradientBoostingClassifier
store_八王子店,0.0003739301483405289,GradientBoostingClassifier
store_座間店,0.0003398871012941985,GradientBoostingClassifier
store_杉並店,0.0003090119614561442,GradientBoostingClassifier
store_本庄店,0.00023054545098194788,GradientBoostingClassifier
store_浦和店,0.00015422903941741904,GradientBoostingClassifier
store_銀座店,6.8790566792833e-07,GradientBoostingClassifier
store_柏店,0.0,GradientBoostingClassifier
store_王子店,0.0,GradientBoostingClassifier
store_瀬谷店,0.0,GradientBoostingClassifier
store_熊谷店,0.0,GradientBoostingClassifier
store_狛江店,0.0,GradientBoostingClassifier
store_狭山店,0.0,GradientBoostingClassifier
store_神田店,0.0,GradientBoostingClassifier
store_町田店,0.0,GradientBoostingClassifier
store_石神井店,0.0,GradientBoostingClassifier
store_白井店,0.0,GradientBoostingClassifier
store_目黒店,0.0,GradientBoostingClassifier
store_神奈川店,0.0,GradientBoostingClassifier
store_相模原店,0.0,GradientBoostingClassifier
store_磯子店,0.0,GradientBoostingClassifier
store_港南店,0.0,GradientBoostingClassifier
store_栃木店,0.0,GradientBoostingClassifier
store_港北店,0.0,GradientBoostingClassifier
store_江戸川店,0.0,GradientBoostingClassifier
store_桐生店,0.0,GradientBoostingClassifier
store_横浜南店,0.0,GradientBoostingClassifier
store_横浜緑店,0.0,GradientBoostingClassifier
store_横須賀店,0.0,GradientBoostingClassifier
store_武蔵村山店,0.0,GradientBoostingClassifier
store_水戸店,0.0,GradientBoostingClassifier
store_福生店,0.0,GradientBoostingClassifier
store_江東店,0.0,GradientBoostingClassifier
store_渋谷店,0.0,GradientBoostingClassifier
store_池袋店,0.0,GradientBoostingClassifier
store_泉店,0.0,GradientBoostingClassifier
store_浅草店,0.0,GradientBoostingClassifier
store_栄店,0.0,GradientBoostingClassifier
store_浦安店,0.0,GradientBoostingClassifier
store_海老名店,0.0,GradientBoostingClassifier
store_清瀬店,0.0,GradientBoostingClassifier
store_流山店,0.0,GradientBoostingClassifier
store_草加店,0.0,GradientBoostingClassifier
store_稲城店,0.0,GradientBoostingClassifier
store_立川店,0.0,GradientBoostingClassifier
store_越谷店,0.0,GradientBoostingClassifier
store_足利店,0.0,GradientBoostingClassifier
store_足柄上店,0.0,GradientBoostingClassifier
store_足立店,0.0,GradientBoostingClassifier
store_那珂店,0.0,GradientBoostingClassifier
store_都筑店,0.0,GradientBoostingClassifier
store_金沢店,0.0,GradientBoostingClassifier
store_鎌倉店,0.0,GradientBoostingClassifier
store_青梅店,0.0,GradientBoostingClassifier
store_青葉店,0.0,GradientBoostingClassifier
store_館林店,0.0,GradientBoostingClassifier
store_駒込店,0.0,GradientBoostingClassifier
store_高円寺店,0.0,GradientBoostingClassifier
store_高島平店,0.0,GradientBoostingClassifier
store_高崎店,0.0,GradientBoostingClassifier
store_高座店,0.0,GradientBoostingClassifier
store_高津店,0.0,GradientBoostingClassifier
store_高田馬場店,0.0,GradientBoostingClassifier
store_鴻巣店,0.0,GradientBoostingClassifier
store_赤羽店,0.0,GradientBoostingClassifier
store_赤坂店,0.0,GradientBoostingClassifier
store_谷中店,0.0,GradientBoostingClassifier
store_茅ヶ崎店,0.0,GradientBoostingClassifier
store_綾瀬店,0.0,GradientBoostingClassifier
store_練馬店,0.0,GradientBoostingClassifier
store_羽生店,0.0,GradientBoostingClassifier
store_習志野店,0.0,GradientBoostingClassifier
store_自由が丘店,0.0,GradientBoostingClassifier
